"POLICYNUMBER","JOBNUMBER","POLICYCREATETIME","JOBCREATETIME","JOBUPDATETIME","RESCINDNOTIFICATIONDATE","CANCELPROCESSDATE","POLICYEFFECTIVEDATE","POLICYEXPIRYDATE","CANCELLATIONDATE","TYPECODE","POLICYSTATUS"
"4000294659","7103045",15-07-27 08:26:26.524000000,16-09-27 08:02:37.133000000,16-09-27 08:57:08.394000000,16-09-27 08:57:08.056000000,16-10-17 00:01:00.000000000,"2016/07/27","2017/07/27",16-09-26 00:01:00.000000000,"Cancellation","Rescinded"
"4000399860","146806251",16-05-11 12:49:21.412000000,16-08-15 15:00:21.138000000,16-08-15 15:29:09.990000000,16-08-15 15:29:09.783000000,16-09-04 00:01:00.000000000,"2016/06/02","2017/06/02",16-08-02 00:01:00.000000000,"Cancellation","Rescinded"
"1002112480","55251574",12-08-08 03:10:16.087000000,16-07-25 11:00:13.771000000,16-07-25 11:24:41.314000000,16-07-25 11:24:40.360000000,16-08-14 00:01:00.000000000,"2015/10/06","2016/10/06",16-08-14 00:01:00.000000000,"Cancellation","Rescinded"
"1058795531","82861502",14-03-14 03:12:05.784000000,16-06-22 14:00:10.779000000,16-06-22 14:03:10.389000000,16-06-22 14:03:09.468000000,16-07-12 00:01:00.000000000,"2016/05/28","2017/05/28",16-05-28 00:01:00.000000000,"Cancellation","Rescinded"
"4000358698","6840854",15-12-03 08:18:36.947000000,16-04-26 08:00:42.343000000,16-04-26 08:37:09.176000000,16-04-26 08:37:08.977000000,16-05-16 00:01:00.000000000,"2016/03/04","2017/03/04",16-05-05 00:01:00.000000000,"Cancellation","Rescinded"
"0508913571","33604078",16-03-03 16:38:34.601000000,16-05-13 10:30:18.099000000,16-05-13 10:43:15.763000000,16-05-13 10:43:15.543000000,16-06-15 00:01:00.000000000,"2016/05/01","2017/05/01",16-05-01 00:01:00.000000000,"Cancellation","Rescinded"
"4000349143","2946086",16-02-01 12:25:22.303000000,16-02-16 08:00:40.855000000,16-02-16 08:57:55.013000000,16-02-16 08:57:54.266000000,16-03-07 00:01:00.000000000,"2016/02/01","2017/02/01",16-03-02 00:01:00.000000000,"Cancellation","Rescinded"
"4000280862","4206283",15-05-07 14:25:48.485000000,15-12-02 08:00:40.943000000,15-12-02 08:20:43.549000000,15-12-02 08:20:43.134000000,15-12-22 00:01:00.000000000,"2015/06/18","2016/06/18",15-11-28 00:01:00.000000000,"Cancellation","Rescinded"
"4000324084","14127219",15-10-28 13:48:02.750000000,15-12-10 10:00:15.687000000,15-12-10 10:13:15.418000000,15-12-10 10:13:14.222000000,15-12-30 00:01:00.000000000,"2015/11/01","2016/11/01",15-12-02 00:01:00.000000000,"Cancellation","Rescinded"
"4000283525","4582597",15-05-11 11:39:41.877000000,15-11-04 08:00:52.370000000,15-11-04 08:56:30.609000000,15-11-04 08:56:30.373000000,15-11-24 00:01:00.000000000,"2015/06/23","2016/06/23",15-11-23 00:01:00.000000000,"Cancellation","Rescinded"
"4000301824","25566542",15-07-28 12:54:25.940000000,15-10-13 11:00:20.621000000,15-10-13 11:58:13.410000000,15-10-13 11:58:12.380000000,15-11-02 00:01:00.000000000,"2015/08/25","2016/08/25",15-09-25 00:01:00.000000000,"Cancellation","Rescinded"
"4000227272","55652143",14-09-29 16:03:52.359000000,15-09-04 15:00:11.394000000,15-09-04 15:11:22.672000000,15-09-04 15:11:21.990000000,15-09-24 00:01:00.000000000,"2014/10/25","2015/10/25",15-08-25 00:01:00.000000000,"Cancellation","Rescinded"
"4000165273","90901824",14-01-16 15:43:34.102000000,15-09-14 17:30:10.214000000,15-09-14 17:52:13.003000000,15-09-14 17:52:12.275000000,15-10-04 00:01:00.000000000,"2015/07/22","2016/01/22",15-10-04 00:01:00.000000000,"Cancellation","Rescinded"
"4000285181","4176042",15-06-23 12:05:15.795000000,15-08-27 08:00:22.742000000,15-08-27 08:25:44.458000000,15-08-27 08:25:44.322000000,15-09-16 00:01:00.000000000,"2015/06/26","2015/12/26",15-08-31 00:01:00.000000000,"Cancellation","Rescinded"
