"POLICY","JOB","STATUS","PRODUCT","PRODUCERCODE","STARTDATE","ENDDATE","CREATEDATE"
"4000069676","16699141","Cancellation","Cooperators_CG",7402,"2012/08/29","2013/08/29","2013/01/14"
"1005896086","2404128","Cancellation","Cooperators_CG",1802,"2012/01/30","2013/01/30","2013/01/17"
"1005472253","17047167","Cancellation","Cooperators_CG",580,"2012/09/30","2013/09/30","2013/01/21"
"1009181948","84390232","Cancellation","Cooperators_CG",339,"2012/10/02","2013/10/02","2013/01/29"
"4000114524","110599513","Cancellation","Cooperators_CG",165,"2013/05/22","2014/05/22","2013/06/03"
"1005376090","76193391","Cancellation","Cooperators_CG",1832,"2012/12/16","2013/12/16","2013/06/06"
"1009172920","10471057","Cancellation","Cooperators_CG",442,"2012/11/08","2013/11/08","2013/09/26"
"1009184222","45350276","Cancellation","Cooperators_CG",181,"2013/11/09","2014/11/09","2014/07/23"
"1004245794","13336377","Cancellation","Cooperators_CG",1111,"2013/11/22","2014/11/22","2014/09/11"
"1005334649","86990496","Cancellation","Cooperators_CG",821,"2014/03/04","2015/03/04","2014/09/24"
"4000109509","72299697","Cancellation","Cooperators_CG",1611,"2014/04/26","2015/04/26","2014/10/14"
"4000144912","105152733","Cancellation","Cooperators_CG",867,"2014/10/03","2015/10/03","2014/12/12"
"4000092695","5234756","Cancellation","Cooperators_CG",802,"2015/01/10","2016/01/10","2015/02/20"
"1009162394","65683898","Cancellation","Cooperators_CG",55901,"2014/07/26","2015/07/26","2015/02/20"
"4000058671","67678506","Cancellation","Cooperators_CG",390,"2014/07/06","2015/07/06","2015/04/27"
"4000197525","4644755","Cancellation","Cooperators_CG",265,"2014/06/25","2015/06/25","2015/05/29"
"4000227272","55652143","Cancellation","Cooperators_CG",1059,"2014/10/25","2015/10/25","2015/09/04"
"4000165273","90901824","Cancellation","Cooperators_CG",355,"2015/07/22","2016/01/22","2015/09/14"
"4000301824","25566542","Cancellation","Cooperators_CG",1577,"2015/08/25","2016/08/25","2015/10/13"
"4000324084","14127219","Cancellation","Cooperators_CG",519,"2015/11/01","2016/11/01","2015/12/10"
"4000349143","2946086","Cancellation","Cooperators_CG",655,"2016/02/01","2017/02/01","2016/02/16"
"1002112480","55251574","Cancellation","Cooperators_CG",739,"2015/10/06","2016/10/06","2016/07/25"
"4000405707","92901885","Cancellation","Cooperators_CG",63811,"2016/06/15","2017/06/15","2016/09/23"
"1001228321","137031366","Cancellation","Cooperators_CG",1109,"2016/06/01","2016/12/01","2016/10/25"
"4000321235","81863475","Cancellation","Cooperators_CG",670,"2016/10/20","2017/10/20","2016/11/09"
"4000248029","96894218","Cancellation","Cooperators_CG",46801,"2016/02/01","2017/02/01","2016/11/18"
"1005298510","197456874","Cancellation","Cooperators_CG",1994,"2016/05/10","2017/05/10","2016/12/06"
"4000025432","495869350","Cancellation","Cooperators_CG",1278,"2016/01/10","2017/01/10","2016/12/22"
