"UWC","POLICYNUMBER","JOBNUMBER","PERIODEND"
"UC","1108319144","78768010",12-06-01 00:01:00.000000000
"UC","1109345370","40749794",12-10-17 00:01:00.000000000
"CGIC","1005440207","154521002",13-11-30 00:01:00.000000000
"CGIC","4000057655","20698775",14-03-25 00:01:00.000000000
"CGIC","1005948431","84414660",13-01-31 00:01:00.000000000
"CGIC","1003166054","38744788",13-03-09 00:01:00.000000000
"CGIC","4000070156","134416509",13-09-01 00:01:00.000000000
"UC","1109266119","102571414",12-06-25 00:01:00.000000000
"CGIC","1120018291","70729300",13-03-15 00:01:00.000000000
"CGIC","1004257893","98060078",13-02-27 00:01:00.000000000
"CGIC","4000031993","54663414",14-02-22 00:01:00.000000000
"CGIC","4000043415","15868164",13-04-26 00:01:00.000000000
"CGIC","4000002070","99468995",12-05-02 00:01:00.000000000
"CGIC","1008887218","48538345",13-11-10 00:01:00.000000000
"UC","1108031749","94492931",12-06-24 00:01:00.000000000
"CGIC","1005370200","282132639",12-11-30 00:01:00.000000000
"CGIC","4000003614","80343195",12-06-23 00:01:00.000000000
"CGIC","1001833017","104892285",13-07-20 00:01:00.000000000
"CGIC","1004257960","28640795",13-03-18 00:01:00.000000000
"CGIC","1003577965","43060952",13-12-22 00:01:00.000000000
"UC","1109442991","3843566",12-11-15 00:01:00.000000000
"CGIC","1001263357","28836671",12-11-23 00:01:00.000000000
"CGIC","1005333047","87444328",13-02-14 00:01:00.000000000
"UC","1109237377","77424978",12-12-01 00:01:00.000000000
"CGIC","4000081992","23271945",13-11-05 00:01:00.000000000
