"ACCOUNTNUMBER","POLICYNUMBER","PRODUCERCODE","COMPANY","POLICYEFFECTIVEDATE","POLICYEXPIRYDATE","TERMNUMBER","LOCATIONPROVINCE","BUILDINGNUM","RISKTYPE","EVALUATIONSOURCE","REPLACEMENTCOST_CG","JOBTYPE"
"7184473321","1057959247","90803","CGIC","20120520","20130520",1,"SK",1,"Farm Structure","None",9600,"Renewal"
"9669533205","1058761783","91501","CGIC","20120531","20130531",1,"SK",6,"Farm Structure","Other",7900,"Renewal"
"5329521163","1057938032","90803","CGIC","20120531","20130531",1,"SK",2,"Farm Structure","Other",9000,"Renewal"
"9669533205","1058761783","91501","CGIC","20120531","20130531",1,"SK",4,"Farm Structure","None",9400,"Renewal"
"6669437234","1058789379","11013","CGIC","20130316","20130616",1,"AB",4,"Farm Structure","None",1400,"Renewal"
"4955692125","1053353989","48013","CGIC","20120620","20130620",1,"NB",5,"Farm Structure","None",5800,"Policy Change"
"7885242656","1058796454","91151","CGIC","20120624","20130624",1,"SK",1,"Farm Structure","None",6800,"Renewal"
"7885242656","1058796454","91151","CGIC","20120624","20130624",1,"SK",2,"Farm Structure","None",6800,"Renewal"
"7055878908","1057947310","90803","CGIC","20120708","20130708",1,"SK",1,"Farm Structure","None",2500,"Policy Change"
"6816901487","1058712897","71056","CGIC","20120731","20130731",1,"ON",3,"Farm Structure","None",5400,"Policy Change"
"3746084246","1058774733","90803","CGIC","20120822","20130822",1,"SK",1,"Farm Structure","None",9000,"Renewal"
"8521737792","1053361815","71056","CGIC","20120831","20130831",1,"ON",1,"Farm Structure","None",8000,"Policy Change"
"1409818978","1058795595","90809","CGIC","20120917","20130917",1,"SK",1,"Farm Structure","None",3200,"Policy Change"
"1008985569","1058717301","71026","CGIC","20121015","20131015",1,"ON",2,"Farm Structure","None",2000,"Renewal"
"7786121255","1058767148","90809","CGIC","20121123","20131123",1,"SK",5,"Farm Structure","Other",4000,"Renewal"
"7786121255","1058767148","90809","CGIC","20121123","20131123",1,"SK",4,"Farm Structure","Other",4000,"Renewal"
"7786121255","1058767148","90809","CGIC","20121123","20131123",1,"SK",1,"Farm Structure","None",1300,"Renewal"
"7786121255","1058767148","90809","CGIC","20121123","20131123",1,"SK",3,"Farm Structure","None",4000,"Renewal"
"8229059253","1058774592","90803","CGIC","20121205","20131205",1,"SK",1,"Farm Structure","None",5000,"Policy Change"
"8230579501","1057825631","12020","CGIC","20130223","20140223",1,"AB",1,"Farm Structure","None",1100,"Policy Change"
"6184632808","1058782496","91501","CGIC","20130319","20140319",1,"SK",4,"Farm Structure","None",4100,"Policy Change"
"6184632808","1058782496","91501","CGIC","20130319","20140319",1,"SK",9,"Farm Structure","None",700,"Policy Change"
"6184632808","1058782496","91501","CGIC","20130319","20140319",1,"SK",8,"Farm Structure","None",700,"Policy Change"
"6184632808","1058782496","91501","CGIC","20130319","20140319",1,"SK",3,"Farm Structure","None",2100,"Policy Change"
"8305549419","1058711288","71978","CGIC","20130603","20140603",1,"ON",3,"Farm Structure","None",5000,"Policy Change"
"8305549419","1058711288","71978","CGIC","20130603","20140603",1,"ON",2,"Farm Structure","None",5000,"Policy Change"
"1352596300","1057920937","12144","CGIC","20130619","20140619",2,"AB",3,"Farm Structure","None",700,"Renewal"
"1352596300","1057920937","12144","CGIC","20130619","20140619",2,"AB",1,"Farm Structure","None",700,"Renewal"
"1551063488","1058786675","40406","CGIC","20130725","20140725",1,"NL",2,"Farm Structure","None",5000,"Renewal"
"1022639311","1058765932","12808","CGIC","20130817","20140817",1,"AB",2,"Farm Structure","None",3700,"Policy Change"
"1022639311","1058765932","12808","CGIC","20130817","20140817",1,"AB",1,"Farm Structure","None",7200,"Policy Change"
"8030336544","1053555253","31090","CGIC","20130825","20140825",1,"MB",7,"Farm Structure","None",6300,"Renewal"
"8030336544","1053555253","31090","CGIC","20130825","20140825",1,"MB",3,"Farm Structure","None",3600,"Renewal"
"8030336544","1053555253","31090","CGIC","20130825","20140825",1,"MB",4,"Farm Structure","None",1600,"Renewal"
"8030336544","1053555253","31090","CGIC","20130825","20140825",1,"MB",1,"Farm Structure","None",4200,"Renewal"
