"DOCUMENTCODE_CG","POLICYNUMBER","POLICYPERIOD","JOBID","PERIODSTART","PERIODEND","CREATETIME"
"QHOME150","4000338762",9523956,9110855,16-12-11 00:01:00.000000000,17-12-11 00:01:00.000000000,17-01-09 10:49:23.284000000
"QHOME150","4000242029",9430193,9026380,16-12-19 00:01:00.000000000,17-12-19 00:01:00.000000000,17-01-04 13:49:17.729000000
"QHOME150","4000493889",9504731,9093572,16-12-05 00:01:00.000000000,17-12-05 00:01:00.000000000,17-01-09 16:52:09.223000000
"QHOME150","4000009316",9411663,9011433,16-09-09 00:01:00.000000000,17-09-09 00:01:00.000000000,17-01-06 16:53:11.377000000
"QHOME150","4000233462",9434541,9033123,16-11-14 00:01:00.000000000,17-11-14 00:01:00.000000000,17-01-05 10:51:52.876000000
"QHOME150","4000494291",9524085,9111078,16-12-01 00:01:00.000000000,17-12-01 00:01:00.000000000,17-01-10 16:53:56.547000000
"QHOME150","4000091423",9499941,9089523,16-12-28 00:01:00.000000000,17-12-28 00:01:00.000000000,17-01-06 16:52:31.312000000
"QHOME150","1120011643",9509261,9097584,16-12-29 00:01:00.000000000,17-12-29 00:01:00.000000000,17-01-09 12:08:40.838000000
"QHOME150","4000483540",9521695,9108926,16-11-09 00:01:00.000000000,17-11-09 00:01:00.000000000,17-01-09 19:05:17.732000000
"QHOME150","4000241601",9499591,9089614,16-12-28 00:01:00.000000000,17-12-28 00:01:00.000000000,17-01-06 09:49:46.255000000
"QHOME150","4000084467",9454996,9048581,16-11-14 00:01:00.000000000,17-11-14 00:01:00.000000000,17-01-12 16:50:21.737000000
"QHOME150","4000498005",9548073,9132446,16-10-31 00:01:00.000000000,17-10-31 00:01:00.000000000,17-01-20 16:51:15.225000000
"QHOME150","4000230465",9563132,9145190,16-10-31 00:01:00.000000000,17-10-31 00:01:00.000000000,17-01-30 17:55:30.449000000
"QHOME150","4000243815",9638818,9213518,17-01-14 00:01:00.000000000,18-01-14 00:01:00.000000000,17-01-24 16:50:51.708000000
"QHOME150","4000025081",9574781,9159309,17-01-06 00:01:00.000000000,18-01-06 00:01:00.000000000,17-01-26 16:50:36.757000000
"QHOME150","4000400616",9511945,9100062,16-06-27 00:01:00.000000000,17-06-27 00:01:00.000000000,17-01-17 13:49:24.184000000
"QHOME150","1120034854",9524146,9110944,17-01-01 00:01:00.000000000,18-01-01 00:01:00.000000000,17-01-13 15:10:56.038000000
"QHOME150","4000165438",9639012,9213812,17-01-14 00:01:00.000000000,18-01-14 00:01:00.000000000,17-01-31 17:51:54.135000000
"QHOME150","4000461477",9491605,9082609,16-09-28 00:01:00.000000000,17-09-28 00:01:00.000000000,17-01-17 12:11:03.799000000
"QHOME150","4000502240",9650338,9223729,16-12-16 00:01:00.000000000,17-12-16 00:01:00.000000000,17-01-24 12:08:30.674000000
"QHOME150","4000497649",9581329,9162229,16-12-07 00:01:00.000000000,17-12-07 00:01:00.000000000,17-01-19 15:27:19.110000000
"QHOME150","4000340300",9616630,9189993,17-01-07 00:01:00.000000000,18-01-07 00:01:00.000000000,17-01-25 16:49:31.304000000
"QHOME150","4000101605",9619970,9196523,16-05-07 00:01:00.000000000,17-05-07 00:01:00.000000000,17-01-23 18:50:32.497000000
"QHOME150","4000426389",9558346,9141402,16-07-04 00:01:00.000000000,17-07-04 00:01:00.000000000,17-01-17 19:04:30.059000000
"QHOME150","4000024321",9524141,9110939,17-01-01 00:01:00.000000000,18-01-01 00:01:00.000000000,17-01-16 15:21:09.849000000
